category,sentimen,persentase
Culture,negative,22.686567164179106
Promotion,negative,28.000000000000004
Culture,neutral,31.64179104477612
Promotion,neutral,56.00000000000001
Culture,positive,45.67164179104478
Promotion,positive,16.0
